book	chapter	verse	anchor	references
Gen	1	25	En God het die wilde diere van die aarde gemaak volgens hulle soorte en die vee volgens hulle soorte en al die diere wat op die grond kruip, volgens hulle soorte. Toe sien God dat dit goed was	Gen 2:19-20|Job 12:8-10|Job 26:13
Gen	1	26	Laat Ons	Gen 3:22|Gen 11:7|Job 35:10|Ps 100:3|Ps 149:2|Jes 64:8|Joh 5:17|Joh 14:23|1 Joh 5:7
Gen	1	26	na ons	Gen 5:1|Gen 9:6|Pred 7:29|Hand 17:26, 28-29|1 Kor 11:7|2 Kor 3:18|2 Kor 4:4|Ef 4:24|Kol 1:15|Kol 3:10|Jak 3:9
Gen	1	26	laat hulle heers	Gen 9:2-4|Job 5:23|Ps 8:5-9|Ps 104:20-24|Pred 7:29|Jer 27:6|Hand 17:20, 28-29|1 Kor 11:7|2 Kor 3:18|Ef 4:24|Kol 3:10|Heb 2:6-9|Jak 3:7, 9
Gen	1	27	na sy beeld	Ps 139:14|Jes 43:7|Ef 2:10|Ef 4:24|Kol 1:15|Kol 1:26
Gen	1	27	man	Gen 2:21-25|Gen 5:2|Mal 2:15|Matt 19:4|Mark 10:6|1 Kor 11:8-9
Gen	1	28	En God het hulle geseën, en God het vir hulle gesê: Wees vrugbaar en vermeerder en vul die aarde, onderwerp dit en heers oor die visse van die see en die voëls van die hemel en oor al die diere wat op die aarde kruip	Gen 1:22|Gen 8:17|Gen 9:1, 7|Gen 17:16, 20|Gen 22:17-18|Gen 24:60|Gen 26:3-4, 24|Gen 33:5|Gen 49:25|Lev 26:9|1 Kron 4:10|1 Kron 26:5|Job 42:12|Ps 107:38|Ps 127:1-5|Ps 128:3-4|Jes 45:18|1 Tim 4:3
Gen	1	28	kruip	Ps 69:35
Gen	1	29	Ek gee	Ps 24:1|Ps 115:16|Hos 2:7|Hand 17:24-25, 28|1 Tim 6:17
Gen	1	29	aan julle	Gen 2:16|Gen 9:3|Job 36:31|Ps 104:14-15, 27-28|Ps 111:5|Ps 136:25|Ps 145:15-16|Ps 146:7|Ps 147:9|Jes 33:16|Matt 6:11, 25-26|Hand 14:17
