book	chapter	verse	anchor	references
Gn	1	26	à notre image	Gn 5:1|Gn 9:6|Ec 7:29|Ac 17:26,28-29|1 Co 11:7|2 Co 3:18|2 Co 4:4|Ep 4:24|Col 1:15|Col 3:10|Jc 3:9
Gn	1	26	domine	Gn 9:2-4|Jb 5:23|Ps 8:5-9|Ps 104:20-24|Jr 27:6|He 2:6-9|Jc 3:7,9
Gn	1	27	à son image	Ps 139:14|Es 43:7|Rm 8:29|Ep 2:10|Ep 4:24|Col 1:15|Col 1:26
Gn	1	27	l'homme et la femme	Gn 2:21-25|Gn 5:2|Ml 2:15|Mt 19:4|Mc 10:6|1 Co 11:8-9
Gn	1	28	Dieu les bénit et leur dit: «Reproduisez-vous, devenez nombreux	Gn 1:22|Gn 8:17|Gn 9:1,7|Gn 17:16,20|Gn 22:17-18|Gn 24:60|Gn 26:4,24|Gn 49:25|Lv 26:9|Ps 127:1-5|Ps 128:3-4
Gn	1	28	remplissez la terre	Es 45:18|Ex 1:7
Gn	1	28	soumettez-la	He 2:5-9|1 Co 15:27-28|Dn 7:13-14
Gn	1	28	Dominez sur	Ps 8:7-9|Ap 5:10
Gn	1	29	Je vous donne	Ps 24:1|Ps 115:16|Os 2:10|Ac 17:24-25,28|1 Tm 6:17
Gn	1	29	ce sera votre nourriture	Gn 2:16|Gn 9:3|Jb 36:31|Ps 104:14-15,27-28|Ps 111:5|Ps 136:25|Ps 145:15-16|Ps 146:7|Ps 147:9|Es 33:16|Mt 6:11,25-26|Ac 14:17
Gn	1	30	A tout animal de la terre, à tout oiseau du ciel et à tout ce qui se déplace sur la terre, à ce qui est animé de vie	Gn 9:3|Jb 38:39-41|Jb 39:4,8,30|Jb 40:15,20|Ps 104:14|Ps 145:15-16|Ps 147:9
Gn	1	31	très bon	Jb 38:7|Ps 19:1-3|Ps 104:24,31|Lm 3:38|1 Tm 4:4
Gn	1	31	Il y eut un soir et il y eut un matin. Ce fut le sixième jour.	Gn 1:5,8,13,19,23|Gn 2:2|Ex 20:11
Gn	2	1	ainsi	Gn 2:4|Gn 1:1,10|Ex 20:11|Ex 31:17|2 Rs 19:15|2 Ch 2:11|Ne 9:6|Jb 12:9|Ps 89:12-14|Ps 104:2|Ps 136:5-8|Ps 146:6|Es 42:5|Es 45:18|Es 48:13|Es 55:9|Es 65:17|Jr 10:12,16|Za 12:1|Ac 4:24|He 4:3
Gn	2	1	armée	Dt 4:19|Dt 17:3|2 Rs 21:3-5|Ps 33:6,9|Es 34:4|Es 40:26-28|Es 45:12|Jr 8:2|Lc 2:13|Ac 7:42
