book	chapter	verse	anchor	references
Gen	1	26	to rule	Gen 9:2-4|Job 5:23|Ps 8:4-8|Ps 104:20-24|Eccl 7:29|Jer 27:6|Acts 17:20, 28-29|1 Cor 11:7|2 Cor 3:18|Eph 4:24|Col 3:10|Heb 2:6-9|Jas 3:7, 9
Gen	1	27	in the image	Ps 139:14|Isa 43:7|Eph 2:10|Eph 4:24|Col 1:15|Col 1:26
Gen	1	27	male and female	Gen 2:21-25|Gen 5:2|Mal 2:15|Matt 19:4|Mark 10:6|1 Cor 11:8-9
Gen	1	28	God blessed them and said to them, “Be fruitful and multiply, and fill the earth and subdue it; rule over the fish of the sea and the birds of the air and every creature that	Gen 1:22|Gen 8:17|Gen 9:1, 7|Gen 17:16, 20|Gen 22:17-18|Gen 24:60|Gen 26:3-4, 24|Gen 33:5|Gen 49:25|Lev 26:9|1 Chr 4:10|1 Chr 26:5|Job 42:12|Ps 107:38|Ps 127:1-5|Ps 128:3-4|Isa 45:18|1 Tim 4:3
Gen	1	28	crawls	Ps 69:34
Gen	1	29	I have given	Ps 24:1|Ps 115:16|Hos 2:8|Acts 17:24-25, 28|1 Tim 6:17
Gen	1	29	They will be yours for food	Gen 2:16|Gen 9:3|Job 36:31|Ps 104:14-15, 27-28|Ps 111:5|Ps 136:25|Ps 145:15-16|Ps 146:7|Ps 147:9|Isa 33:16|Matt 6:11, 25-26|Acts 14:17
Gen	1	30	And to every beast of the earth and every bird of the air and every creature that crawls upon the earth—everything that has the breath of life in it—I have given every green plant for food.” And it was so.	Gen 9:3|Job 38:39-41|Job 39:4, 8, 30|Job 40:15, 20|Ps 104:14|Ps 145:15-16|Ps 147:9
Gen	1	31	very good	Job 38:7|Ps 19:1-2|Ps 104:24, 31|Lam 3:38|1 Tim 4:4
Gen	1	31	And there was evening, and there was morning—	Gen 1:5, 8, 13, 19, 23|Gen 2:2|Exod 20:11
Gen	2	1	Thus	Gen 2:4|Gen 1:1, 10|Exod 20:11|Exod 31:17|2 Kgs 19:15|2 Chr 2:12|Neh 9:6|Job 12:9|Ps 89:11-13|Ps 104:2|Ps 136:5-8|Ps 146:6|Isa 42:5|Isa 45:18|Isa 48:13|Isa 55:9|Isa 65:17|Jer 10:12, 16|Zech 12:1|Acts 4:24|Heb 4:3
Gen	2	1	vast array	Deut 4:19|Deut 17:3|2 Kgs 21:3-5|Ps 33:6, 9|Isa 34:4|Isa 40:26-28|Isa 45:12|Jer 8:2|Luke 2:13|Acts 7:42
Gen	2	2	And by	Gen 1:31|Exod 20:11|Exod 23:12|Exod 31:17|Deut 5:14|Isa 58:13|John 5:17|Heb 4:4
Gen	2	3	blessed	Exod 16:22-30|Exod 20:8-11|Exod 23:12|Exod 31:13-17|Exod 34:21|Exod 35:2-3|Lev 23:3|Lev 25:2-3|Deut 5:12-14|Neh 9:14|Neh 13:15-22|Prov 10:22|Isa 56:2-7|Isa 58:13-14|Jer 17:21-27|Ezek 20:12|Mark 2:27|Luke 23:56|Heb 4:4-10
Gen	2	4	the account	Gen 1:4|Gen 5:1|Gen 10:1|Gen 11:10|Gen 25:12, 19|Gen 36:1, 9|Exod 6:16|Job 38:28|Ps 90:1-2
Gen	2	4	LORD	Exod 15:3|1 Kgs 18:39|2 Chr 20:6|Ps 18:31|Ps 86:10|Isa 44:6|Rev 1:4, 8|Rev 11:17|Rev 16:5
Gen	2	5	shrub	Gen 1:12|Ps 104:14
Gen	2	5	had not yet sent rain	Job 5:10|Job 38:26-28|Ps 65:9-11|Ps 135:7|Jer 14:22|Matt 5:45|Heb 6:7
Gen	2	5	to cultivate	Gen 3:23|Gen 4:2, 12
Gen	2	7	formed man	Ps 100:3|Ps 139:14-15|Isa 64:8
Gen	2	7	dust	Gen 3:19, 23|Job 4:19|Job 33:6|Ps 103:14|Eccl 3:7, 20|Eccl 12:7|Isa 64:8|Rom 9:20|1 Cor 15:47|2 Cor 4:7|2 Cor 5:1
Gen	2	7	breathed	Job 27:3|Job 33:4|John 20:22|Acts 17:25
Gen	2	7	nostrils	Gen 7:22|Eccl 3:21|Isa 2:22
